model,scheduler,img_res,initial_lr,augmentation,max_train_acc,max_val_acc,test_acc
mod,constant,30,0.001,simple,0.6867862343788147,0.688265323638916,0.8703762755102041
mod,constant,30,0.001,simple,0.7148969769477844,0.7137755155563354,0.8726084183673469
mod_bn,constant,30,0.001,simple,0.7886593341827393,0.7946428656578064,0.9130261479591836
mod_bn,constant,30,0.001,simple,0.8179886341094971,0.8051020503044128,0.9249840561224488
mod_bn,constant,30,0.001,simple,0.8241094946861267,0.8316326737403871,0.9411670918367347
mod_bn,constant,30,0.001,simple,0.7973306179046631,0.8142856955528259,0.930564413265306
mod_bn,constant,30,0.001,simple,0.8067952990531921,0.8122448921203613,0.9286511479591836
kaggle,constant,30,0.001,simple,0.8653121590614319,0.828316330909729,0.9237085459183674
kaggle,constant,30,0.001,simple,0.8729349374771118,0.8247448801994324,0.9289700255102041
kaggle,constant,30,0.001,simple,0.8700161576271057,0.8181122541427612,0.9318399234693876
kaggle,constant,30,0.001,simple,0.8705828785896301,0.8390306234359741,0.9354272959183674
kaggle,constant,30,0.001,simple,0.8902774453163147,0.8510203957557678,0.9371014030612244
mini,cosine,30,0.002,simple,0.8390716910362244,0.6487244963645935,0.7625956632653061
mini,cosine,30,0.002,simple,0.8374564051628113,0.6474489569664001,0.7493622448979591
mini,cosine,30,0.002,simple,0.8422171473503113,0.6387755274772644,0.7720822704081632
mini,cosine,30,0.002,simple,0.8409135937690735,0.6459183692932129,0.7676179846938775
mini,cosine,30,0.002,simple,0.838221549987793,0.6596938967704773,0.7550223214285714
v0,cosine,30,0.002,simple,0.966986894607544,0.8086734414100647,0.9192442602040816
v0,cosine,30,0.002,simple,0.9672419428825378,0.8163265585899353,0.9220344387755104
v0,cosine,30,0.002,simple,0.9673836231231692,0.8137755393981934,0.9198022959183674
v0,cosine,30,0.002,simple,0.9651166200637816,0.8155612349510193,0.9175701530612244
v0,cosine,30,0.002,simple,0.9664767980575562,0.828316330909729,0.9239477040816326
v0.1,cosine,30,0.002,simple,0.9020658135414124,0.75,0.8970822704081632
v0.1,cosine,30,0.002,simple,0.9092068076133728,0.761734664440155,0.8990752551020408
v0.1,cosine,30,0.002,simple,0.9038794040679932,0.7678571343421936,0.8954878826530613
v0.1,cosine,30,0.002,simple,0.9037093520164492,0.761734664440155,0.8963647959183674
v0.1,cosine,30,0.002,simple,0.906741499900818,0.7655612230300903,0.8961256377551021
v0.2,cosine,30,0.002,simple,0.9535266160964966,0.7882652878761292,0.9040178571428572
v0.2,cosine,30,0.002,simple,0.9574938416481018,0.8058673739433289,0.9214764030612244
v0.2,cosine,30,0.002,simple,0.9555952548980712,0.8035714030265808,0.91015625
